,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,PropertyGFABuilding(s),PropertyGFAParking,LargestPropertyUseTypeGFA,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,SiteEnergyUse(kBtu)
223,Large Office,47.60909,-122.33202,1960_1980,1.0,21,74.0,363100,93204,342952.0,0,1,0,135.23,19397324.0
224,Large Office,47.61029,-122.34089,1980_2000,1.0,12,89.0,100717,15140,104788.0,0,1,0,33.17,4757299.5
225,Small- and Mid-Sized Office,47.61116,-122.34748,1980_2000,1.0,4,72.0,70000,17500,70090.0,0,1,0,31.72,4549892.0
226,Large Office,47.6117,-122.34778,1980_2000,1.0,11,72.0,189629,184776,150969.0,0,1,0,92.92,13329024.0
227,Other,47.61252,-122.34351,1980_2000,1.0,12,,155500,38000,146689.0,0,1,0,100.65,14436982.0
228,Large Office,47.61108,-122.34217,1920_1940,1.0,11,96.0,102846,0,93879.0,1,1,0,281.55,5327249.5
229,Small- and Mid-Sized Office,47.61304,-122.34059,1920_1940,1.0,4,83.0,52800,0,38880.0,0,1,1,44.48,2429021.0
230,Mixed Use Property,47.61229,-122.33903,_1920,3.0,10,,258497,0,155000.0,1,1,0,418.9,20779796.0
231,Retail Store,47.61098,-122.33815,1920_1940,1.0,8,,861702,0,509342.0,1,1,1,328.83,17666646.0
232,Other,47.61,-122.32922,1980_2000,1.0,5,,109550,97400,206950.0,1,1,0,249.09,19295226.0
233,Other,47.61048,-122.32837,1980_2000,1.0,9,,46710,0,46710.0,1,1,0,130.69,4169431.5
234,Medical Office,47.61048,-122.32837,1940_1960,1.0,3,65.0,162000,104000,162000.0,1,1,1,201.15,13911761.0
235,Medical Office,47.60921,-122.32425,1980_2000,1.0,14,58.0,282363,407795,270384.0,0,1,0,147.49,21156670.0
236,Mixed Use Property,47.61915,-122.34857,2000_,1.0,6,100.0,200783,177660,164332.0,0,1,1,456.22,55073120.0
237,Mixed Use Property,47.61915,-122.34857,2000_,1.0,6,100.0,108912,104922,104922.0,0,1,1,530.59,75073888.0
238,Hotel,47.62036,-122.34588,1960_1980,1.0,5,34.0,79608,29409,109017.0,0,1,1,243.66,9474745.0
239,Large Office,47.62177,-122.36158,1980_2000,1.0,5,77.0,237282,38452,228504.0,0,1,0,114.14,16373232.0
240,Warehouse,47.56064,-122.32522,2000_,1.0,1,59.0,123061,0,123061.0,0,1,0,13.86,1987934.625
241,Distribution Center,47.54868,-122.3255,1960_1980,1.0,1,45.0,59090,0,40272.0,0,1,1,117.11,2756214.75
242,Warehouse,47.5471,-122.32406,1960_1980,1.0,1,93.0,106000,0,106001.0,0,1,0,5.32,763364.5
243,Large Office,47.63349,-122.32634,1960_1980,1.0,3,19.0,120200,38400,125779.0,0,1,1,236.9,18309150.0
244,Distribution Center,47.53764,-122.3232,1940_1960,1.0,1,97.0,119661,0,118733.0,0,1,1,5.44,775729.1875
245,Large Office,47.62958,-122.32826,2000_,1.0,7,81.0,94472,44728,82098.0,0,1,0,30.27,4342597.0
246,Small- and Mid-Sized Office,47.62566,-122.34287,1980_2000,1.0,6,95.0,61800,33921,95721.0,0,1,0,21.36,3063504.5
247,Large Office,47.62929,-122.34194,1980_2000,2.0,5,83.0,98055,115228,105563.0,0,1,0,39.47,5661689.5
248,Large Office,47.64776,-122.33924,2000_,1.0,3,7.0,56041,47656,63199.0,0,1,1,374.92,11319836.0
249,Small- and Mid-Sized Office,47.70105,-122.32659,1960_1980,1.0,5,56.0,74880,0,71751.0,0,1,0,35.8,5134607.5
250,Small- and Mid-Sized Office,47.69999,-122.32663,1960_1980,1.0,6,53.0,88774,0,85339.0,0,1,0,42.03,6029121.5
251,Large Office,47.69917,-122.3268,1980_2000,1.0,5,93.0,122250,0,91281.0,0,1,0,38.59,5535626.0
252,Small- and Mid-Sized Office,47.70063,-122.32487,1960_1980,1.0,4,20.0,53730,0,53730.0,0,1,0,33.06,4742869.0
253,Small- and Mid-Sized Office,47.5671,-122.36416,1940_1960,1.0,3,55.0,55593,0,55593.0,0,1,1,93.23,4224872.5
254,Large Office,47.62269,-122.33224,1980_2000,1.0,4,54.0,73096,60960,72066.0,0,1,0,32.73,4695139.0
255,Retail Store,47.5653,-122.33076,2000_,1.0,1,25.0,158415,0,158415.0,0,1,1,454.49,22394416.0
256,Large Office,47.61907,-122.33651,1920_1940,1.0,8,,287819,0,155985.0,0,1,1,349.07,48406556.0
257,Other,47.60953,-122.32793,1960_1980,1.0,8,,158738,0,158738.0,1,1,1,1268.87,61762380.0
258,Small- and Mid-Sized Office,47.62003,-122.35706,1980_2000,1.0,4,81.0,58195,28800,58195.0,0,1,0,20.86,2991674.75
259,Retail Store,47.66057,-122.36857,1980_2000,1.0,1,62.0,164437,0,102653.0,0,1,1,326.18,18390344.0
260,Large Office,47.62402,-122.33755,2000_,1.0,5,95.0,118248,66234,118016.0,0,1,1,40.47,5671256.0
261,Laboratory,47.62348,-122.33743,1920_1940,1.0,3,,55200,0,54880.0,0,1,1,269.71,11594121.0
262,Laboratory,47.62254,-122.33753,2000_,1.0,4,,129366,111793,176171.0,0,1,1,849.83,33713876.0
263,Large Office,47.62286,-122.33804,2000_,1.0,6,96.0,86700,52582,79384.0,0,1,0,22.57,3238216.0
264,Large Office,47.62383,-122.3356,2000_,1.0,5,96.0,172371,98700,168132.0,0,1,1,61.93,7851334.5
265,Warehouse,47.62572,-122.33389,_1920,1.0,5,56.0,127800,0,127800.0,0,1,1,29.53,2767491.0
266,Large Office,47.62855,-122.33035,2000_,1.0,5,71.0,353919,206597,372503.0,0,1,1,632.4,30083496.0
267,Large Office,47.62621,-122.33128,2000_,1.0,6,49.0,131592,95000,131592.0,0,1,1,94.64,11963428.0
268,Other,47.62855,-122.33035,1980_2000,1.0,5,,535947,0,535947.0,0,1,1,3995.45,131373880.0
269,Mixed Use Property,47.62121,-122.33885,2000_,1.0,5,,109046,50654,72407.0,0,1,1,726.96,31371618.0
270,Large Office,47.62137,-122.33744,2000_,1.0,4,97.0,136143,73673,113803.0,0,1,1,122.68,6917478.5
271,Large Office,47.62131,-122.33814,2000_,1.0,6,97.0,193198,109905,178628.0,0,1,1,69.59,7519466.5
272,Mixed Use Property,47.62002,-122.33687,1940_1960,1.0,3,66.0,67380,0,29732.0,0,1,1,74.1,2755829.0
273,Laboratory,47.62405,-122.34036,1960_1980,1.0,4,,102235,0,103135.0,0,1,1,587.16,24395228.0
274,Mixed Use Property,47.62405,-122.34036,2000_,1.0,5,,282813,153684,175364.0,0,1,1,1019.53,45252356.0
275,Small- and Mid-Sized Office,47.62115,-122.3597,1960_1980,1.0,5,80.0,67236,20826,64752.0,0,1,0,23.81,3415561.25
276,Small- and Mid-Sized Office,47.62224,-122.3585,1960_1980,1.0,5,69.0,66762,20416,66648.0,0,1,0,25.32,3632613.75
277,Small- and Mid-Sized Office,47.62224,-122.3585,1960_1980,1.0,5,86.0,66762,20416,66747.0,0,1,0,24.35,3493093.75
278,Small- and Mid-Sized Office,47.62014,-122.35768,1960_1980,1.0,5,75.0,66400,21600,69691.0,0,1,0,24.29,3484915.5
279,Medical Office,47.65821,-122.31831,1980_2000,1.0,4,5.0,108344,88405,108344.0,0,1,1,477.87,19165116.0
280,Medical Office,47.65884,-122.3183,1980_2000,1.0,4,21.0,95995,95281,95995.0,0,1,1,77.99,8422861.0
281,Self-Storage Facility,47.66838,-122.3931,1940_1960,2.0,2,,111445,0,,0,1,1,163.83,5697472.5
282,Warehouse,47.56885,-122.37121,1980_2000,1.0,4,83.0,98475,0,98475.0,0,1,1,22.44,1090496.625
283,Hospital,47.62667,-122.32965,1980_2000,1.0,7,23.0,201075,150455,215602.0,0,1,1,1032.63,42709624.0
284,Supermarket / Grocery Store,47.7237,-122.29232,1980_2000,1.0,2,78.0,121087,187878,121087.0,0,1,1,277.98,14512786.0
285,Supermarket / Grocery Store,47.56895,-122.33775,2000_,1.0,1,100.0,63225,0,63225.0,0,1,0,45.47,6522551.5
286,Warehouse,47.56419,-122.34262,1980_2000,1.0,1,100.0,243044,0,325424.0,0,1,1,41.8,1396082.25
287,Other,47.64942,-122.35024,2000_,1.0,3,,123940,156312,156312.0,0,1,0,80.32,11521702.0
288,Other,47.63549,-122.34103,1940_1960,1.0,3,,53464,12998,72000.0,0,1,0,47.94,6876439.5
289,Retail Store,47.72053,-122.34739,1980_2000,1.0,1,72.0,131387,0,107931.0,0,1,1,110.46,8773058.0
290,Warehouse,47.72377,-122.34095,1980_2000,1.0,3,38.0,94400,0,67155.0,0,1,1,10.24,784364.5
291,Other,47.72546,-122.34659,1960_1980,6.0,1,,111900,0,124231.0,0,1,1,226.43,9814820.0
292,Supermarket / Grocery Store,47.72803,-122.34214,1980_2000,0.0,1,56.0,144776,0,144776.0,0,1,1,237.39,13424079.0
293,Retail Store,47.7249,-122.34332,1960_1980,1.0,1,79.0,114000,0,57805.0,0,1,1,553.27,17225444.0
294,Supermarket / Grocery Store,47.7235,-122.34458,1980_2000,1.0,1,78.0,50083,0,50065.0,0,1,1,158.92,8663691.0
295,Large Office,47.65086,-122.35412,1980_2000,1.0,3,73.0,95426,28645,96504.0,0,1,1,34.9,4991360.5
296,Small- and Mid-Sized Office,47.64963,-122.35158,1980_2000,1.0,4,84.0,53472,36528,90000.0,0,1,0,27.17,3897738.0
297,Small- and Mid-Sized Office,47.64849,-122.35041,2000_,1.0,3,70.0,62332,33709,62232.0,0,1,0,37.74,5413418.0
298,Large Office,47.64822,-122.34848,1980_2000,1.0,3,96.0,166128,114829,152579.0,0,1,1,94.47,11325513.0
299,Large Office,47.64882,-122.34905,1980_2000,1.0,4,89.0,140302,103032,138995.0,0,1,1,85.01,8651835.0
300,Mixed Use Property,47.6074,-122.33777,1980_2000,1.0,6,,154660,0,119815.0,1,1,1,1623.34,52960796.0
301,Large Office,47.55146,-122.32832,1980_2000,1.0,5,95.0,268920,121375,243018.0,0,1,0,53.57,7683885.0
302,Warehouse,47.54983,-122.32858,1960_1980,1.0,2,87.0,90000,0,70000.0,0,1,1,17.17,1429146.375
303,Retail Store,47.55032,-122.32614,1960_1980,1.0,1,,50200,0,50200.0,0,1,1,32.22,1047461.0
304,Small- and Mid-Sized Office,47.66891,-122.38528,1920_1940,1.0,6,,87833,6200,53993.0,0,1,1,120.24,4758198.0
305,Warehouse,47.66724,-122.38553,1940_1960,1.0,2,100.0,63240,0,63240.0,0,1,1,8.15,227566.7031
306,Other,47.66233,-122.3748,2000_,1.0,5,,140415,182454,182454.0,0,1,1,413.35,17085344.0
307,Self-Storage Facility,47.64676,-122.37581,1980_2000,1.0,4,,106893,23400,130293.0,0,1,0,3.25,465533.3125
308,Warehouse,47.65567,-122.37478,1980_2000,1.0,4,94.0,106041,0,106041.0,0,1,1,25.58,1123943.0
309,Self-Storage Facility,47.63634,-122.3754,1940_1960,1.0,3,,94470,0,94470.0,0,1,1,33.18,1000796.875
310,Large Office,47.59963,-122.32796,2000_,1.0,10,88.0,143508,38186,150840.0,0,1,0,53.25,7637986.0
311,Warehouse,47.54769,-122.3251,1960_1980,1.0,1,33.0,22780,0,22780.0,0,1,0,2.8,402051.3125
312,Distribution Center,47.54187,-122.32714,1960_1980,1.0,1,62.0,124472,0,124423.0,0,1,1,237.36,5464762.0
313,Large Office,47.60411,-122.33225,1960_1980,1.0,22,95.0,129000,98556,227556.0,0,1,0,59.21,8493420.0
314,Distribution Center,47.54187,-122.32714,1960_1980,1.0,1,72.0,50065,0,49918.0,0,1,1,42.65,1529510.25
315,Distribution Center,47.54621,-122.33486,1960_1980,1.0,1,26.0,57540,0,57540.0,0,1,1,76.68,2582687.0
316,Warehouse,47.54853,-122.32814,1960_1980,1.0,1,49.0,85400,0,85400.0,0,1,0,10.72,1536998.25
317,Warehouse,47.54912,-122.32819,1960_1980,1.0,1,63.0,55700,0,55700.0,0,1,0,3.62,519806.0938
318,Small- and Mid-Sized Office,47.54965,-122.3278,1960_1980,1.0,1,96.0,53250,0,52759.0,0,1,1,46.93,1794187.25
319,Small- and Mid-Sized Office,47.62476,-122.34843,1980_2000,1.0,6,98.0,50245,28427,78672.0,0,1,1,28.63,2179719.75
320,Warehouse,47.71286,-122.34422,1980_2000,1.0,3,89.0,64660,0,64660.0,0,1,1,6.32,325513.0
321,Mixed Use Property,47.61552,-122.31744,1920_1940,1.0,2,,55916,19928,28442.0,0,1,1,38.48,3684188.5
322,Distribution Center,47.5701,-122.33342,1960_1980,1.0,1,25.0,161678,0,162425.0,0,1,1,204.81,9357230.0
323,Distribution Center,47.56874,-122.33303,1940_1960,1.0,1,1.0,101101,0,101101.0,0,1,1,152.71,21795830.0
324,Distribution Center,47.57023,-122.33241,1960_1980,1.0,1,80.0,52613,0,59504.0,0,1,1,32.02,1061458.25
325,Other,47.56785,-122.33361,1920_1940,1.0,1,,56608,0,45340.0,0,1,1,74.31,5094197.0
326,Refrigerated Warehouse,47.56637,-122.33273,1940_1960,1.0,1,,104099,0,100000.0,0,1,1,142.36,17695420.0
327,Supermarket / Grocery Store,47.69267,-122.35506,2000_,1.0,1,41.0,50734,7450,51722.0,0,1,1,414.43,14715262.0
328,Supermarket / Grocery Store,47.73315,-122.3105,1960_1980,1.0,1,37.0,58480,0,44431.0,0,1,1,272.54,11054535.0
329,Large Office,47.62029,-122.33078,2000_,1.0,6,95.0,211900,124800,217977.0,0,1,0,54.92,9058916.0
330,Retail Store,47.62,-122.33027,1980_2000,1.0,4,42.0,104014,159994,98863.0,0,1,1,190.61,9937707.0
331,Small- and Mid-Sized Office,47.59367,-122.30957,_1920,1.0,2,32.0,62220,0,60676.0,0,1,1,38.55,5444253.5
332,Small- and Mid-Sized Office,47.59388,-122.31124,1960_1980,1.0,1,89.0,65430,0,60732.0,0,1,1,90.24,3181045.5
333,Large Office,47.66517,-122.30186,2000_,1.0,3,26.0,59850,42440,83715.0,0,1,1,49.17,6062770.5
334,Other,47.6144,-122.30982,1920_1940,1.0,3,,80004,0,74864.0,0,1,0,85.28,12232124.0
335,Warehouse,47.56407,-122.32765,1980_2000,1.0,2,92.0,323916,0,263528.0,0,1,1,262.45,8024064.5
336,Mixed Use Property,47.5928,-122.31599,1920_1940,1.0,14,66.0,304052,0,218918.0,0,1,1,247.35,21027396.0
337,Small- and Mid-Sized Office,47.64037,-122.32626,1960_1980,1.0,4,,54175,31210,50235.0,0,1,0,33.85,4855036.5
338,Distribution Center,47.53687,-122.33316,1980_2000,1.0,2,94.0,98024,0,63896.0,0,1,1,42.25,1988334.5
339,Mixed Use Property,47.62405,-122.33084,1920_1940,1.0,1,,50000,15000,20000.0,0,1,1,63.89,2603931.25
340,Large Office,47.62488,-122.33007,1980_2000,1.0,5,62.0,77953,66620,78521.0,0,1,0,35.8,5135040.0
341,Retail Store,47.70759,-122.3255,1940_1960,1.0,2,97.0,302812,0,302812.0,0,1,1,129.29,7290824.5
342,Small- and Mid-Sized Office,47.70744,-122.33171,1960_1980,1.0,5,53.0,86400,0,78200.0,0,1,1,293.55,9080022.0
343,Other,47.7094,-122.31843,1960_1980,0.0,2,,98539,0,98539.0,0,1,1,46.49,5450441.5
344,Small- and Mid-Sized Office,47.70732,-122.33279,1980_2000,1.0,6,56.0,86483,0,86483.0,0,1,0,44.35,6361236.5
345,Distribution Center,47.53926,-122.34143,1960_1980,1.0,1,75.0,51600,0,34400.0,0,1,1,22.1,1124543.125
346,Warehouse,47.53689,-122.33847,1960_1980,1.0,1,61.0,140520,0,140520.0,0,1,1,57.73,2225512.0
347,Large Office,47.63116,-122.34193,1980_2000,1.0,5,95.0,91649,62380,91645.0,0,1,1,58.88,4636396.5
348,Other,47.70887,-122.33494,2000_,1.0,3,,69854,91935,91935.0,0,1,1,49.28,6963616.5
349,Medical Office,47.7126,-122.33782,2000_,1.0,3,,63909,0,60670.0,0,1,0,33.22,4765753.5
350,Warehouse,47.69814,-122.34295,1940_1960,1.0,2,,53472,0,46846.0,0,1,1,34.0,971155.625
351,Warehouse,47.52696,-122.32913,1960_1980,1.0,1,14.0,50417,0,50417.0,0,1,1,58.67,1847401.0
352,Restaurant,47.60613,-122.34115,_1920,1.0,1,,43728,0,43728.0,0,0,1,611.19,11508035.0
353,Medical Office,47.70449,-122.33272,1960_1980,1.0,3,21.0,133298,0,133298.0,0,1,1,295.48,15640994.0
354,Retail Store,47.70759,-122.3255,1960_1980,1.0,2,78.0,168619,0,173106.0,0,1,1,91.1,6455828.5
355,Mixed Use Property,47.63451,-122.32505,2000_,0.0,5,,138509,113318,113318.0,0,1,1,1156.45,47102428.0
356,Large Office,47.6244,-122.33157,1980_2000,1.0,4,91.0,104500,71385,103970.0,0,1,0,45.22,6486377.5
357,Warehouse,47.56089,-122.33474,1960_1980,1.0,2,93.0,104786,0,104786.0,0,1,1,23.86,1028376.875
358,Other,47.55787,-122.335,1980_2000,1.0,1,,11440,41600,51427.0,0,1,1,49.9,1770027.5
359,Other,47.55741,-122.33163,1960_1980,0.0,1,,110689,0,110689.0,0,1,1,107.83,2339814.25
360,Small- and Mid-Sized Office,47.5563,-122.33186,1940_1960,1.0,1,86.0,53620,0,53620.0,0,1,1,22.12,2058955.25
361,Small- and Mid-Sized Office,47.55623,-122.33316,1920_1940,1.0,1,62.0,50008,0,50008.0,0,1,1,65.3,3202213.0
362,Large Office,47.6252,-122.36737,2000_,1.0,4,98.0,191000,100176,194674.0,0,1,1,49.74,6657348.5
363,Warehouse,47.56549,-122.33221,1940_1960,1.0,1,63.0,50832,0,43920.0,0,1,1,107.16,2551022.25
364,Refrigerated Warehouse,47.56158,-122.32754,1960_1980,1.0,1,70.0,76354,0,76486.0,0,1,1,20.29,2843033.5
365,Warehouse,47.56558,-122.32889,1940_1960,1.0,1,65.0,98480,0,98480.0,0,1,1,39.5,2831565.5
366,Mixed Use Property,47.66113,-122.33572,_1920,1.0,2,75.0,53002,0,31602.0,0,1,1,64.0,3441643.25
367,Mixed Use Property,47.63465,-122.32592,2000_,1.0,3,,124700,51218,66737.0,0,1,1,640.71,22530168.0
368,Other,47.63108,-122.32746,_1920,1.0,3,,106003,63782,106003.0,0,1,1,406.02,19155416.0
369,Large Office,47.63,-122.3396,1960_1980,1.0,11,58.0,124721,0,107594.0,0,1,1,365.79,13898181.0
370,Small- and Mid-Sized Office,47.63376,-122.33968,1960_1980,1.0,7,70.0,94002,0,93905.0,0,1,0,39.47,5662234.0
371,Warehouse,47.55515,-122.3275,1960_1980,1.0,1,60.0,93020,0,93020.0,0,1,0,8.73,1252323.875
372,Other,47.6153,-122.35014,1940_1960,1.0,1,,23000,0,20310.0,0,1,1,25.74,711118.375
373,Supermarket / Grocery Store,47.52095,-122.26825,2000_,1.0,1,32.0,61053,0,54434.0,0,1,1,306.5,13133225.0
374,Small- and Mid-Sized Office,47.59895,-122.33379,_1920,1.0,5,88.0,78920,0,78564.0,0,1,0,19.73,2830674.75
375,Small- and Mid-Sized Office,47.59855,-122.33327,_1920,1.0,7,64.0,99440,0,65088.0,0,1,1,134.69,6606832.5
376,Small- and Mid-Sized Office,47.59856,-122.33379,_1920,1.0,6,82.0,73260,0,63871.0,0,1,0,19.89,2853189.5
377,Small- and Mid-Sized Office,47.59979,-122.3338,_1920,1.0,4,87.0,69817,0,34647.0,1,1,1,76.8,2178074.5
378,Small- and Mid-Sized Office,47.60035,-122.33379,_1920,1.0,4,,84750,0,41609.0,0,1,1,26.04,2094724.625
379,Small- and Mid-Sized Office,47.60146,-122.33248,_1920,1.0,6,,62176,13320,45799.0,0,1,0,24.89,3570161.75
380,Large Office,47.59962,-122.33247,_1920,1.0,4,79.0,164380,0,123607.0,1,1,1,130.31,7655751.0
381,Large Office,47.59858,-122.33198,_1920,1.0,7,98.0,160580,0,160580.0,1,1,1,99.59,4336187.5
382,Mixed Use Property,47.59334,-122.32905,_1920,1.0,3,37.0,56700,0,26250.0,0,1,1,31.58,2371575.0
383,Warehouse,47.59366,-122.32666,1920_1940,1.0,1,83.0,82852,0,58472.0,0,1,1,65.56,2153603.5
384,Other,47.57941,-122.33131,1940_1960,1.0,2,,76442,0,50500.0,0,1,1,132.6,3978277.0
385,Distribution Center,47.57658,-122.33054,1960_1980,1.0,2,56.0,92792,0,85343.0,0,1,1,74.18,3155496.0
386,Other,47.58444,-122.33282,1940_1960,2.0,2,,125519,0,142901.0,0,1,0,15.65,2244317.0
387,Large Office,47.58361,-122.33369,_1920,1.0,4,80.0,103200,25800,104869.0,0,1,0,30.5,4374646.0
388,Warehouse,47.58781,-122.33264,1940_1960,1.0,1,69.0,78814,0,78814.0,0,1,1,16.48,861972.875
389,Small- and Mid-Sized Office,47.59486,-122.33368,_1920,1.0,4,,58970,0,39870.0,0,1,1,41.18,1776411.75
390,Distribution Center,47.59403,-122.33367,_1920,1.0,6,15.0,64800,10800,51040.0,0,1,0,18.74,2688675.75
391,Distribution Center,47.59363,-122.33371,_1920,1.0,4,,56270,0,39884.0,0,1,0,7.37,1056782.125
392,Small- and Mid-Sized Office,47.59701,-122.33378,_1920,1.0,4,31.0,66842,0,43122.0,0,1,1,138.35,5608600.5
393,Small- and Mid-Sized Office,47.59639,-122.33368,_1920,1.0,6,81.0,64488,10800,65508.0,0,1,1,20.18,2891605.0
394,Large Office,47.59806,-122.33475,_1920,1.0,7,81.0,184322,0,183916.0,0,1,0,67.78,9722890.0
395,Large Office,47.59767,-122.33467,2000_,1.0,7,43.0,287853,0,273812.0,0,1,1,182.14,25567108.0
396,Small- and Mid-Sized Office,47.59202,-122.33486,_1920,1.0,2,53.0,64512,0,63000.0,0,1,1,180.76,5968153.5
397,Mixed Use Property,47.58924,-122.33566,2000_,1.0,6,,174226,111774,111774.0,0,1,1,445.62,63835192.0
398,Warehouse,47.58365,-122.33467,1920_1940,1.0,7,26.0,144050,0,144050.0,0,1,1,98.43,3929371.0
399,Small- and Mid-Sized Office,47.58252,-122.33465,1920_1940,1.0,3,16.0,60592,0,60384.0,0,1,1,47.25,5049446.5
400,Large Office,47.58181,-122.33534,_1920,0.0,6,79.0,1380959,0,1000730.0,0,1,1,810.7,74130576.0
401,Retail Store,47.57842,-122.33558,1980_2000,1.0,1,57.0,107930,0,107704.0,0,1,1,100.42,7221482.5
402,Warehouse,47.57096,-122.3355,1920_1940,1.0,1,83.0,99084,0,99084.0,0,1,1,49.25,1618110.375
403,Distribution Center,47.56676,-122.35247,1940_1960,1.0,1,28.0,72719,0,72719.0,0,1,1,42.74,2581741.75
404,Small- and Mid-Sized Office,47.59534849,-122.327269,1920_1940,0.0,4,91.0,76624,0,76624.0,0,1,1,33.41,2773647.5
405,Small- and Mid-Sized Office,47.66158,-122.31625,2000_,1.0,6,2.0,55123,36583,53281.0,0,1,0,59.75,8570571.0
406,Medical Office,47.62395,-122.33392,2000_,1.0,5,6.0,89191,39902,89131.0,0,1,1,477.85,19248732.0
407,Large Office,47.56787,-122.36419,1980_2000,1.0,5,41.0,121885,16221,119083.0,0,1,0,58.43,8381834.5
408,Retail Store,47.56664,-122.32346,1960_1980,1.0,1,66.0,56572,0,56576.0,0,1,1,67.29,2409429.0
409,Medical Office,47.60979,-122.32298,2000_,1.0,0,53.0,225982,0,200184.0,1,1,0,692.12,20560622.0
410,Mixed Use Property,47.61783,-122.33729,2000_,0.0,0,31.0,516407,0,385196.0,0,1,1,734.72,39403320.0
411,Large Office,47.59794,-122.32767,1980_2000,1.0,11,,312512,0,303312.0,0,1,1,185.39,25747022.0
412,Large Office,47.6074,-122.33777,2000_,1.0,42,97.0,1592914,0,914832.0,1,1,1,481.06,56498868.0
413,Small- and Mid-Sized Office,47.61077,-122.3361,1920_1940,1.0,6,,97720,0,51881.0,0,1,0,17.28,2478025.25
414,Medical Office,47.61002,-122.32222,1980_2000,1.0,10,46.0,215923,206580,197408.0,1,1,0,190.1,17254810.0
415,Medical Office,47.60649,-122.31121,1980_2000,1.0,7,68.0,94500,0,113739.0,0,1,0,40.38,5792926.0
416,Retail Store,47.53655,-122.36377,2000_,0.0,1,79.0,94713,0,109758.0,0,1,1,94.74,5417598.0
417,Medical Office,47.60707,-122.3288,2000_,1.0,9,58.0,201560,101342,201365.0,0,1,1,130.32,14751117.0
418,Medical Office,47.60883,-122.32494,1960_1980,1.0,19,50.0,163504,156407,170727.0,1,1,0,357.39,15067340.0
419,Large Office,47.60353,-122.33558,_1920,1.0,6,94.0,205521,0,114919.0,1,1,1,282.46,8138616.5
420,Small- and Mid-Sized Office,47.60197,-122.33437,_1920,1.0,6,55.0,56700,0,46000.0,0,1,0,21.37,3065954.5
421,Small- and Mid-Sized Office,47.59554,-122.32471,1920_1940,1.0,4,89.0,72000,0,72000.0,0,1,1,23.48,2729167.75
422,Large Office,47.63347,-122.34078,1980_2000,1.0,4,93.0,96254,94892,103000.0,0,1,0,35.56,5101504.5
423,Other,47.56797,-122.36711,2000_,1.0,3,,57236,11527,50000.0,0,1,1,310.19,9029489.0
424,Other,47.56961,-122.28881,1980_2000,3.0,1,,102133,0,107427.0,0,1,1,530.62,20725996.0
425,Large Office,47.61567,-122.33503,2000_,1.0,14,86.0,362046,0,232443.0,0,1,1,116.95,15725581.0
426,Other,47.62476,-122.35521,1980_2000,3.0,2,,81336,0,81385.0,0,1,1,270.17,13085297.0
427,Large Office,47.6115,-122.33278,2000_,1.0,23,90.0,538933,0,366554.0,0,1,0,111.69,16020642.0
428,Other,47.61234,-122.34897,1980_2000,1.0,6,,78852,197130,197040.0,0,1,0,36.49,5233553.5
429,Small- and Mid-Sized Office,47.62497,-122.35965,1980_2000,1.0,5,91.0,98668,0,98668.0,0,1,0,30.61,4391348.0
430,Large Office,47.57639,-122.32072,2000_,1.0,1,12.0,130550,28381,80157.0,0,1,1,98.54,8751704.0
431,Large Office,47.65692,-122.37059,1960_1980,1.0,1,1.0,105100,0,105100.0,0,1,1,357.86,22078064.0
432,Supermarket / Grocery Store,47.63718,-122.37734,2000_,1.0,1,31.0,57176,0,39500.0,0,0,0,0.0,12525174.0
433,Retail Store,47.63284,-122.37712,1960_1980,1.0,1,51.0,50660,0,50660.0,0,1,1,60.7,2661488.0
434,Small- and Mid-Sized Office,47.63156,-122.37551,1920_1940,1.0,2,59.0,61929,0,39879.0,0,1,1,55.73,2203026.5
435,Large Office,47.62302,-122.36476,1980_2000,1.0,4,1.0,110111,55000,104667.0,0,1,0,177.62,25478086.0
436,Small- and Mid-Sized Office,47.61588,-122.34965,1920_1940,1.0,3,65.0,20565,0,20565.0,0,1,0,5.59,802312.5
437,Large Office,47.62175,-122.36313,1980_2000,1.0,5,63.0,103966,55971,106449.0,0,1,0,54.78,7857972.5
438,Large Office,47.62101,-122.36188,2000_,1.0,5,56.0,137201,46763,133451.0,0,1,0,103.57,14856199.0
439,Large Office,47.61891,-122.35958,1980_2000,1.0,5,95.0,129362,78848,109978.0,0,1,1,116.74,5514308.5
440,Large Office,47.61813,-122.35833,1980_2000,1.0,7,63.0,197203,80283,178625.0,0,1,0,88.74,12729858.0
441,Large Office,47.614,-122.35375,1980_2000,1.0,3,77.0,187130,0,171783.0,0,1,0,70.09,10053489.0
442,Large Office,47.61287,-122.35022,1980_2000,1.0,5,99.0,133177,117867,126218.0,0,1,0,119.81,17186624.0
443,Warehouse,47.60703,-122.34038,_1920,1.0,5,81.0,154330,0,95330.0,0,1,0,8.8,1262235.25
444,Large Office,47.60604,-122.33948,_1920,1.0,6,,93555,14690,64055.0,1,1,0,50.17,4515180.5
445,Large Office,47.6047,-122.33739,_1920,1.0,6,70.0,167860,0,110370.0,0,1,0,47.39,6797647.0
446,Large Office,47.60247,-122.33621,_1920,1.0,6,86.0,112560,0,80400.0,0,1,1,97.82,4946798.5
