,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,PropertyGFABuilding(s),PropertyGFAParking,LargestPropertyUseTypeGFA,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),TotalGHGEmissions,SiteEnergyUse(kBtu)
59,Hotel,47.62642,-122.33325,1980_2000,1.0,7,37.0,238097,44766,235788.0,0,1,1,526.85,19459304.0
60,Large Office,47.62112,-122.33629,2000_,1.0,12,91.0,571329,0,598801.0,0,1,1,617.52,39605888.0
61,Small- and Mid-Sized Office,47.62391,-122.34837,1980_2000,0.0,2,,63888,2352,45900.0,0,1,0,29.04,4166306.25
62,Large Office,47.62419,-122.34443,2000_,1.0,6,93.0,616891,303707,729584.0,0,1,1,674.09,36667044.0
63,Small- and Mid-Sized Office,47.62053,-122.35842,1960_1980,1.0,4,68.0,50283,25930,48546.0,0,1,1,48.76,3476212.5
64,Hotel,47.62291,-122.35708,2000_,1.0,6,56.0,59976,36934,59976.0,0,1,1,152.14,5155568.5
65,Hotel,47.65772,-122.31756,1960_1980,2.0,4,53.0,50017,0,50017.0,0,1,1,191.2,5448975.0
66,K-12 School,47.62548,-122.30828,1920_1940,1.0,3,34.0,67743,0,67743.0,0,1,1,78.85,2646879.0
67,K-12 School,47.62644,-122.30429,_1920,1.0,6,100.0,194104,0,194104.0,0,1,1,243.23,6219841.5
68,Small- and Mid-Sized Office,47.58408,-122.30125,2000_,1.0,3,63.0,63681,35752,63681.0,0,1,0,34.14,4897760.0
69,Other,47.67524,-122.31534,1940_1960,1.0,4,,56521,0,49000.0,0,1,0,44.32,6357632.0
70,Other,47.67559,-122.31769,1920_1940,1.0,2,,206934,0,119146.0,0,1,1,133.58,4253577.5
71,Hotel,47.73141,-122.3458,2000_,1.0,4,89.0,51390,0,51390.0,0,1,1,127.29,3611538.0
72,K-12 School,47.7257,-122.33684,1940_1960,1.0,1,92.0,245587,0,245587.0,0,1,1,443.73,11765682.0
73,Hotel,47.72551,-122.3423,2000_,1.0,3,78.0,69138,0,70609.0,0,1,1,89.02,3242458.0
74,Hotel,47.6048,-122.3368,_1920,1.0,5,98.0,190980,0,190980.0,0,1,1,142.39,6505995.0
75,Hospital,47.66737,-122.37956,1940_1960,4.0,5,14.0,285333,0,302661.0,0,1,1,1990.5,68090728.0
76,Other,47.59809,-122.32283,_1920,1.0,4,,59000,13820,58000.0,0,1,1,46.26,2010454.625
77,Hotel,47.62614,-122.3467,1980_2000,1.0,4,76.0,148022,14200,113702.0,0,1,1,228.4,7946961.0
78,University,47.61495,-122.32177,_1920,1.0,3,,63330,0,64820.0,0,1,1,74.33,3059758.0
79,University,47.547,-122.35307,1960_1980,27.0,2,,441071,0,483000.0,0,1,1,866.23,38301744.0
80,Small- and Mid-Sized Office,47.67828,-122.26456,2000_,1.0,2,,96300,0,92300.0,0,1,1,222.02,16319835.0
81,Small- and Mid-Sized Office,47.53827,-122.28406,1940_1960,1.0,1,,54765,0,25765.0,0,1,1,61.21,4253369.5
82,Other,47.53722,-122.284,2000_,1.0,5,,89821,0,46483.0,0,1,1,100.46,1950092.5
83,University,47.65147,-122.36122,1960_1980,1.0,2,,52611,0,52611.0,0,1,1,104.26,4116871.5
85,K-12 School,47.70763,-122.29453,2000_,1.0,2,96.0,236758,0,238550.0,0,1,1,222.78,8355988.5
86,Other,47.60462,-122.31549,1960_1980,3.0,6,,250981,0,137565.0,1,1,1,422.39,13071700.0
87,Other,47.61598,-122.33448,2000_,1.0,11,,230638,68432,250000.0,0,1,1,2055.82,65336980.0
88,Small- and Mid-Sized Office,47.536,-122.31768,2000_,1.0,3,21.0,64015,0,30000.0,0,1,1,49.58,3242077.75
89,Retail Store,47.70759,-122.3255,1940_1960,1.0,1,98.0,530039,0,505103.0,0,1,1,723.47,27717034.0
90,Other,47.7066,-122.321,1960_1980,1.0,3,,54224,0,47012.0,0,1,1,231.53,7265178.0
91,Retail Store,47.70619,-122.32586,1960_1980,1.0,4,76.0,124342,0,122000.0,0,1,1,66.3,8765978.0
92,Hospital,47.66231,-122.28146,1940_1960,6.0,10,10.0,879000,0,879000.0,0,1,1,8145.52,253832464.0
93,Other,47.70956,-122.3345,1980_2000,1.0,3,72.0,55442,0,28636.0,0,1,1,83.7,3191228.25
94,Self-Storage Facility,47.61233,-122.3171,_1920,1.0,5,,84870,0,85521.0,0,1,1,51.11,1381590.125
